name,event_id,month,long,lat,indoors_min,indoors_max,prey_month,age,sex
Bella,1102581044,9,138.583679,-34.966953,12,17,0,5,f
Bella,1102578475,9,138.583542,-34.966949,12,17,0,5,f
Bella,1102579709,9,138.583527,-34.966911,12,17,0,5,f
Bella,1102581130,9,138.583786,-34.966606,12,17,0,5,f
Bella,1102579380,9,138.583618,-34.966904,12,17,0,5,f
Bella,1102578757,9,138.583557,-34.966831,12,17,0,5,f
Bella,1102579378,9,138.583603,-34.967094,12,17,0,5,f
Bella,1102580722,9,138.583542,-34.966965,12,17,0,5,f
Bella,1102581131,9,138.583725,-34.966522,12,17,0,5,f
Bella,1102578739,9,138.583221,-34.966728,12,17,0,5,f
Bella,1102578454,9,138.583328,-34.967087,12,17,0,5,f
Bella,1102580723,9,138.583572,-34.966953,12,17,0,5,f
Bella,1102578588,9,138.58342,-34.966888,12,17,0,5,f
Bella,1102578985,9,138.583603,-34.966934,12,17,0,5,f
Bella,1102581045,9,138.583694,-34.966824,12,17,0,5,f
Bella,1102578984,9,138.583939,-34.96682,12,17,0,5,f
Bella,1102580065,9,138.583801,-34.966846,12,17,0,5,f
Bella,1102578630,9,138.583527,-34.966888,12,17,0,5,f
Bella,1102578444,9,138.583405,-34.966728,12,17,0,5,f
Bella,1102580511,9,138.58342,-34.966919,12,17,0,5,f
Bella,1102580721,9,138.58342,-34.966904,12,17,0,5,f
Bella,1102581207,9,138.583435,-34.9669,12,17,0,5,f
Bella,1102580464,9,138.583847,-34.967182,12,17,0,5,f
Bella,1102581159,9,138.583221,-34.966869,12,17,0,5,f
Bella,1102579708,9,138.583771,-34.967155,12,17,0,5,f
Bella,1102578372,9,138.583466,-34.966995,12,17,0,5,f
Bella,1102578631,9,138.583664,-34.966988,12,17,0,5,f
Bella,1102581138,9,138.583664,-34.966866,12,17,0,5,f
Bella,1102578443,9,138.583282,-34.966553,12,17,0,5,f
Bella,1102579710,9,138.583603,-34.966705,12,17,0,5,f
Bella,1102578519,9,138.583328,-34.966927,12,17,0,5,f
Bella,1102581158,9,138.583389,-34.966908,12,17,0,5,f
Bella,1102581004,9,138.583466,-34.967064,12,17,0,5,f
Bella,1102580465,9,138.583847,-34.967182,12,17,0,5,f
Bella,1102579840,9,138.583755,-34.966511,12,17,0,5,f
Bella,1102579848,9,138.583786,-34.966717,12,17,0,5,f
Bella,1102578442,9,138.583313,-34.966839,12,17,0,5,f
Bella,1102578740,9,138.58345,-34.966938,12,17,0,5,f
Bella,1102581003,9,138.583633,-34.967232,12,17,0,5,f
Bella,1102578986,9,138.583511,-34.967056,12,17,0,5,f
Bella,1102581208,9,138.583481,-34.96693,12,17,0,5,f
Bella,1102578629,9,138.583557,-34.967003,12,17,0,5,f
Bella,1102580066,9,138.584152,-34.966892,12,17,0,5,f
Bella,1102580080,9,138.583603,-34.96701,12,17,0,5,f
Bella,1102578371,9,138.583145,-34.967041,12,17,0,5,f
Bella,1102578453,9,138.583435,-34.966961,12,17,0,5,f
Bella,1102580998,9,138.58345,-34.967155,12,17,0,5,f
Bella,1102578756,9,138.583572,-34.966759,12,17,0,5,f
Bella,1102580048,9,138.583435,-34.966843,12,17,0,5,f
Bella,1102579758,9,138.583542,-34.966949,12,17,0,5,f
Bella,1102581046,9,138.583557,-34.9669,12,17,0,5,f
Bella,1102580047,9,138.583786,-34.96682,12,17,0,5,f
Bella,1102579711,9,138.583481,-34.966969,12,17,0,5,f
Bella,1102579759,9,138.583496,-34.9669,12,17,0,5,f
Bella,1102578589,9,138.583313,-34.966908,12,17,0,5,f
Bella,1102579379,9,138.583542,-34.966877,12,17,0,5,f
Bella,1102580049,9,138.583572,-34.966637,12,17,0,5,f
Bella,1102579849,9,138.583572,-34.966949,12,17,0,5,f
Bella,1102580999,9,138.583359,-34.967369,12,17,0,5,f
Bella,1102580081,9,138.583466,-34.966984,12,17,0,5,f
Bella,1102578445,9,138.583435,-34.966759,12,17,0,5,f
Bella,1102581137,9,138.58374,-34.966862,12,17,0,5,f
Bella,1102580510,9,138.583389,-34.966999,12,17,0,5,f
Bella,1102580463,9,138.583557,-34.966858,12,17,0,5,f
Bella,1102578474,9,138.583389,-34.966904,12,17,0,5,f
Bella,1102579839,9,138.583786,-34.966671,12,17,0,5,f
Bella,1102579712,9,138.583725,-34.967075,12,17,0,5,f
Bella,1102578520,9,138.583344,-34.966728,12,17,0,5,f
Darcy,850683032,7,138.699753,-34.868446,12,17,4,8,m
Darcy,850682312,7,138.700027,-34.869328,12,17,4,8,m
Darcy,850682976,7,138.702011,-34.866798,12,17,4,8,m
Darcy,850682983,7,138.699753,-34.868317,12,17,4,8,m
Darcy,850680539,7,138.699707,-34.868355,12,17,4,8,m
Darcy,850683136,7,138.700394,-34.868763,12,17,4,8,m
Darcy,850682961,7,138.699829,-34.868416,12,17,4,8,m
Darcy,850680368,7,138.699631,-34.868385,12,17,4,8,m
Darcy,850680979,7,138.700882,-34.869995,12,17,4,8,m
Darcy,850683139,7,138.699875,-34.868305,12,17,4,8,m
Darcy,850683059,7,138.700577,-34.869827,12,17,4,8,m
Darcy,850681669,7,138.700073,-34.868488,12,17,4,8,m
Darcy,850680918,7,138.699966,-34.868046,12,17,4,8,m
Darcy,850683045,7,138.699753,-34.869022,12,17,4,8,m
Darcy,850682188,7,138.700394,-34.868279,12,17,4,8,m
Darcy,850682682,7,138.699814,-34.868355,12,17,4,8,m
Darcy,850680983,7,138.700043,-34.868919,12,17,4,8,m
Darcy,850681864,7,138.699814,-34.868958,12,17,4,8,m
Darcy,850680980,7,138.701172,-34.870403,12,17,4,8,m
Darcy,850681316,7,138.699722,-34.86832,12,17,4,8,m
Darcy,850683063,7,138.700928,-34.869167,12,17,4,8,m
Darcy,850681300,7,138.699738,-34.868835,12,17,4,8,m
Darcy,850680930,7,138.699738,-34.868473,12,17,4,8,m
Darcy,850682174,7,138.699661,-34.868465,12,17,4,8,m
Darcy,850682168,7,138.70095800000001,-34.869518,12,17,4,8,m
Darcy,850682665,7,138.701553,-34.867741,12,17,4,8,m
Darcy,850680537,7,138.699738,-34.868404,12,17,4,8,m
Darcy,850681785,7,138.699707,-34.868389,12,17,4,8,m
Darcy,850682222,7,138.69989,-34.868374,12,17,4,8,m
Darcy,850680927,7,138.700943,-34.869328,12,17,4,8,m
Darcy,850681330,7,138.700897,-34.869667,12,17,4,8,m
Darcy,850682586,7,138.699753,-34.868378,12,17,4,8,m
Darcy,850683004,7,138.700745,-34.869057,12,17,4,8,m
Darcy,850681258,7,138.700043,-34.868576,12,17,4,8,m
Darcy,850681013,7,138.700195,-34.868515,12,17,4,8,m
Darcy,850682569,7,138.701263,-34.868771,12,17,4,8,m
Darcy,850682159,7,138.700058,-34.868378,12,17,4,8,m
Darcy,850681346,7,138.700974,-34.868977,12,17,4,8,m
Darcy,850682575,7,138.700562,-34.869438,12,17,4,8,m
Darcy,850682169,7,138.70047,-34.868935,12,17,4,8,m
Darcy,850681331,7,138.70079,-34.869888,12,17,4,8,m
Darcy,850682219,7,138.700821,-34.867939,12,17,4,8,m
Darcy,850680981,7,138.701218,-34.869991,12,17,4,8,m
Darcy,850681349,7,138.70108,-34.869144,12,17,4,8,m
Darcy,850682571,7,138.701599,-34.869511,12,17,4,8,m
Darcy,850683031,7,138.69957,-34.868538,12,17,4,8,m
Darcy,850682681,7,138.700089,-34.868237,12,17,4,8,m
Darcy,850681268,7,138.701187,-34.868546,12,17,4,8,m
Darcy,850681442,7,138.701187,-34.868164,12,17,4,8,m
Darcy,850682322,7,138.699722,-34.868454,12,17,4,8,m
Darcy,850681867,7,138.699814,-34.868351,12,17,4,8,m
Darcy,850681010,7,138.699493,-34.868401,12,17,4,8,m
Darcy,850681267,7,138.700821,-34.868752,12,17,4,8,m
Darcy,850681350,7,138.70105,-34.869099,12,17,4,8,m
Darcy,850682121,7,138.701401,-34.869064,12,17,4,8,m
Darcy,850681306,7,138.700043,-34.868443,12,17,4,8,m
Darcy,850682306,7,138.699951,-34.868362,12,17,4,8,m
Darcy,850682315,7,138.699448,-34.869663,12,17,4,8,m
Darcy,850682307,7,138.700012,-34.868446,12,17,4,8,m
Darcy,850682732,7,138.70076,-34.869785,12,17,4,8,m
Darcy,850683010,7,138.700119,-34.86866,12,17,4,8,m
Darcy,850681437,7,138.700699,-34.867599,12,17,4,8,m
Darcy,850681392,7,138.699844,-34.868687,12,17,4,8,m
Darcy,850682790,7,138.699692,-34.868824,12,17,4,8,m
Darcy,850681348,7,138.701172,-34.869106,12,17,4,8,m
Darcy,850681012,7,138.700699,-34.868534,12,17,4,8,m
Darcy,850683012,7,138.700012,-34.868366,12,17,4,8,m
Darcy,850681390,7,138.700867,-34.869293,12,17,4,8,m
Darcy,850680468,7,138.699722,-34.868855,12,17,4,8,m
Darcy,850680423,7,138.699799,-34.868469,12,17,4,8,m
Darcy,850682530,7,138.700134,-34.868866,12,17,4,8,m
Darcy,850681294,7,138.699524,-34.868961,12,17,4,8,m
Darcy,850682187,7,138.700714,-34.867943,12,17,4,8,m
Darcy,850682125,7,138.701416,-34.868382,12,17,4,8,m
Darcy,850683060,7,138.700592,-34.870052,12,17,4,8,m
Darcy,850682205,7,138.700928,-34.869053,12,17,4,8,m
Darcy,850682572,7,138.70166,-34.869682,12,17,4,8,m
