imdb_url,title,director,year,imdb_rating,genre_1,genre_2,runtime_hrs,runtime_min,budget,gross_worldwide,contributor_alias,dsst_section,contributor_rating,notes
https://www.imdb.com/title/tt4364194/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_peanut%2520butter%2520,The Peanut Butter Falcon,Tyler Nilson,2019,7.6,comedy,adventure,1,37,"6,200,000.00","23,712,097.00",Gretchen,12:00:00 PM,8.4,Such a good feel movie
https://www.imdb.com/title/tt4500922/,Maze Runner The Death Cure,Wes Ball,2018,6.3,action,adventure,2,23,"62,000,000.00",,Jasmine,10:30:00 AM,7,A good ending to the series
https://www.imdb.com/title/tt4698684/,Hunt for the Wilderpeople,Taika Waititi,2016,7.8,comedy,adventure,1,41,"2,500,000.00","38,560,308.00",gracie,12:00:00 PM,9,goodbye ricky baker
https://www.imdb.com/title/tt4846340/?ref_=ext_shr_lnk,Hidden Figures,Theodore Melfi,2016,7.8,drama,history,2,7,"25,000,000.00","235,957,472.00",Laeticia,12:00:00 PM,8,
https://www.imdb.com/title/tt4972582/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_split,Split,M. Night Shyamalan,2016,7.2,thriller,thriller,1,57,"9,000,000.00","278,454,417.00",kay,9:00:00 AM,9,
https://www.imdb.com/title/tt5027774/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_three%2520bil,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,2017,8.1,drama,comedy,1,55,"15,000,000.00","162,729,321.00",holden,9:00:00 AM,9,
https://www.imdb.com/title/tt5052448/?ref_=ext_shr_lnk,Get Out,Jordan Peele,2017,7.8,horror,mystery,1,44,"4,500,000.00","255,751,443.00",Laeticia,12:00:00 PM,9,craziest plot twists!
https://www.imdb.com/title/tt5052448/?ref_=nm_flmg_job_1_cred_c_3,Get Out,Jordan Peele,2017,7.8,thriller,horror,1,44,"4,500,000.00","255,751,443.00",meklet,9:00:00 AM,8.5,
https://www.imdb.com/title/tt5113044/,Minions: The Rise of Gru,Kyle Balda,2022,6.5,family,comedy,1,29,"80,000,000.00","940,203,765.00",Jackson,9:00:00 AM,8.6,Watched with my buddy Jeff
https://www.imdb.com/title/tt5164214/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_oceans%25208,Ocean's Eight,Gary Ross,2018,6.3,action,comedy,1,50,"70,000,000.00","297,795,726.00",gigi,9:00:00 AM,8,
https://www.imdb.com/title/tt5325452/?ref_=nv_sr_srsg_6_tt_5_nm_3_in_0_q_Boo!,Boo! A Madea Halloween,Tyler Perry,2016,4.7,comedy,horror,1,43,"20,000,000.00","74,827,344.00",meklet,9:00:00 AM,6.5,
https://www.imdb.com/title/tt5439796/,Logan Lucky,Steven Soderbergh,2017,7,action,heist,1,58,"29,000,000.00","48,453,605.00",gracie,12:00:00 PM,8,appalachian Oceans 11
https://www.imdb.com/title/tt5688932/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_sorry%2520to%2520bo,Sorry to Bother You,Boots Riley,2018,6.9,drama,comedy,1,52,"3,200,000.00","18,170,707.00",brett,12:00:00 PM,10,I've seen it 12 times
https://www.imdb.com/title/tt6263850/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_dea,Deadpool & Wolverine,Shawn Levy,2024,8,action,comedy,2,8,"200,000,000.00","1,316,684,625.00",sky,10:30:00 AM,9,
https://www.imdb.com/title/tt6263850/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_deadpo,Deadpool & Wolverine,Shawn Levy,2024,8,comedy,action,2,8,"200,000,000.00","1,316,684,625.00",anika,9:00:00 AM,9.5,
https://www.imdb.com/title/tt6710474/,Everything Everywhere All at Once,Daniel Kwan,2022,7.8,adventure,comedy,2,19,"14,300,000.00","143,412,671.00",broening,10:30:00 AM,8,
https://www.imdb.com/title/tt6710474/,Everything Everywhere All at Once,Daniel Kwan,2022,7.8,sci-fi,action,2,19,"14,300,000.00","143,412,671.00",Marian,12:00:00 PM,9.5,
https://www.imdb.com/title/tt6751668/?ref_=tt_mv_close,Parasite,Bong Joon Ho,2019,8.5,horror,thriller,2,12,"11,400,000","11,400,000",Keyli,9:00:00 AM,8,
https://www.imdb.com/title/tt6806448/?ref_=fn_al_tt_2,Fast & Furious Presents: Hobbs & Shaw,David Leitch,2019,6.5,action,crime,2,17,"200,000,000.00","760,732,926.00",Michael Z,9:00:00 AM,9,Watched in theatre
https://www.imdb.com/title/tt6857112/?ref_=fn_al_tt_2,US,Jordan Peele,2019,6.8,horror,mystery,1,56,"20,000,000.00","256,071,218.00",halleluya,9:00:00 AM,9.5,
https://www.imdb.com/title/tt6966692/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_the%2520green%2520book,Green Book,Peter Farrelly,2018,8.2,drama,documentary,2,10,"23,000,000.00","85,080,171.00",Leah,10:30:00 AM,9,
https://www.imdb.com/title/tt6980988/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_treasures%2520from%2520the,Treasures from the Wreck of the Unbelievable ,Sam Hobkinson,2017,6,documentary,,1,30,,,gigi,9:00:00 AM,,
https://www.imdb.com/title/tt7394674/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_blood%2520quan,Blood Quantum,Jeff Barnaby,2019,5.6,drama,horror,1,38,"5,500,000.00","30,132.00",gigi,9:00:00 AM,,
https://www.imdb.com/title/tt7510222/,Despicable Me 4,Chris Renaud,2024,6.2,family,comedy,1,34,"100,000,000.00","948,140,610.00",Jackson,9:00:00 AM,7,Watched with my buddy Jeff
https://www.imdb.com/title/tt7533152/?ref_=ext_shr_lnk,The Boy Who Harnessed The Wind,Chiwetel Ejiofor,2019,7.6,drama,history,1,53,,,Laeticia,12:00:00 PM,8.5,Beautiful and inspiring movie
https://www.imdb.com/title/tt7939766/,I'm Thinking of Ending Things,Charlie Kaufman,2020,6.5,horror,drama,2,14,,,broening,10:30:00 AM,8.5,
https://www.imdb.com/title/tt7984734/,The Lighthouse,Robert Eggers,2019,7.4,drama,comedy,1,49,"11,000,000.00","18,129,854.00",fredner,9:00:00 AM,8.8,Watched at The Byrd Theatre
https://www.imdb.com/title/tt8772262/,Midsommar,Ari Aster,2019,7.1,horror,thriller,2,28,"9,000,000.00","48,015,416.00",Marian,12:00:00 PM,8,
https://www.imdb.com/title/tt9114286/?ref_=fn_al_tt_1,Black Panther: Wakanda Forever,Ryan Coogler,2018,7.3,action,action,2,14,"200,000,000.00","1,349,926,083.00",halleluya,9:00:00 AM,9,some random theater in NoVA
https://www.imdb.com/title/tt9362722/,Spider-Man: Across the Spiderverse,Joaquim Dos Santos,2023,8.6,action,animation,2,20,"150,000,000.00","690,824,738.00",Marian,12:00:00 PM,9,
https://www.imdb.com/title/tt9586294/,Better Days,Derek Tsang,2019,7.6,crime,drama,2,15,,"227,011,328.00",Jasmine,10:30:00 AM,9,Very emotional movie
https://www.imdb.com/title/tt9620288/?ref_=fn_al_tt_1,King Richard ,Reinaldo Marcus Green,2021,7.5,sport,drama,2,24,"50,000,000.00","39,429,285.00",Lara,12:00:00 PM,8.5,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,Keyli,9:00:00 AM,6,
