,ctry,pty,birth_year,year_started
Sanna Marin,Finland,Social Democrats,1985,2019
Élisabeth Borne,France,LREM,1961,2022
Κυριάκος Μητσοτάκης,Greece,New Democracy,1968,2019
Katrín Jakobsdóttir,Iceland,Left-Green,1976,2017
Kaja Kallas,Estonia,Reform Party,1977,2021
